  Namespace                   Name                                                      CPU Requests  CPU Limits   Memory Requests  Memory Limits  Age
  kube-ai                     metadata-envoy-deployment-5479c4df6b-vvjh2                 100m (2%)     200m (5%)    300Mi (1%)       600Mi (2%)     77d
  kube-queue                  notebook-operator-extesion-69d54b4dc8-2d2lb                100m (2%)     200m (5%)    256Mi (0%)       512Mi (1%)     77d
  kube-system                 ack-node-problem-detector-daemonset-95mn8                  100m (2%)     1 (25%)      200Mi (0%)       1Gi (3%)       540d
  kube-system                 coredns-696978697c-fdxdq                                   100m (2%)     0 (0%)       100Mi (0%)       2Gi (7%)       17d
  kube-system                 csi-plugin-l2qjl                                           130m (3%)     2 (51%)      176Mi (0%)       4Gi (14%)      291d
  kube-system                 kube-flannel-ds-7psp2                                      100m (2%)     100m (2%)    100Mi (0%)       256Mi (0%)     540d
  kube-system                 kube-proxy-worker-n94z2                                    100m (2%)     0 (0%)       100Mi (0%)       0 (0%)         291d
  kube-system                 logtail-ds-hf7bh                                           100m (2%)     2 (51%)      256Mi (0%)       2Gi (7%)       433d
  kube-system                 node-local-dns-8lqsn                                       25m (0%)      0 (0%)       5Mi (0%)         1Gi (3%)       540d
  kube-system                 storage-cnfs-7874f8ccd7-5gdpr                              10m (0%)      100m (2%)    16Mi (0%)        512Mi (1%)     355d
  kube-system                 storage-monitor-7d78dd679d-g8twx                           10m (0%)      100m (2%)    16Mi (0%)        512Mi (1%)     355d
  kube-system                 storage-operator-567f96548f-g2s4v                          10m (0%)      100m (2%)    16Mi (0%)        128Mi (0%)     355d
  microframework              api-count-86877c5fc5-sn6gk                                 5m (0%)       500m (12%)   256Mi (0%)       512Mi (1%)     61d
  microframework              kong-aigc-7d7b9bd669-mjlxq                                 100m (2%)     4 (102%)     512Mi (1%)       8Gi (29%)      230d
  poap                        dt-bdp-gylt-message-qa-6cc7949964-rfdgl                    100m (2%)     400m (10%)   256Mi (0%)       1500Mi (5%)    23h
